,Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q14,Q15,Q16,Q17,Code,COL,Role
1184,Producer/Director,86500.00,No,National network/organization ,,"Washington, D.C.",District of Columbia,Yes,2,2,12,30,Male,White,Yes,DC,,Producer
1185,News Director,86500.00,No,Radio station,Community/independent nonprofit,Nashville,Tennessee,No,3.5,7,8,29,Female,White,Yes,TN,100.1,Director
1186,Director of Digital Media and Technology,85000.00,Yes,Radio station,Community/independent nonprofit,Seattle,Washington,No,6,12,12,38,Male,White,No,WA,124.6,Director
1187,Program Manager/Traffic Supervisor,85000.00,No,Joint licensee,College/university,Grand Rapids,Michigan,No,11,29,36,61,Male,White,No,MI,93.7,Manager
1188,Radio Program Director,85000.00,No,Joint licensee,College/university,Provo,Utah,No,18,30,33,56,Male,White,No,UT,100.9,Director
1189,News Director,85000.00,No,Joint licensee,State,nan,Mississippi,No,16,26,26,,Female,Black or African American,No,MS,,Director
1190,Executive Producer,85000.00,No,Radio station,Community/independent nonprofit,Concord,New Hampshire,No,3,3,12,41,Female,White,No,NH,108.3,Producer
1191,Business Manager,85000.00,No,Joint licensee,College/university,Grand Rapids,Michigan,No,5,5,5,36,Female,White,No,MI,93.7,Manager
1192,Director of Development,85000.00,No,Radio station,Community/independent nonprofit,Baltimore,Maryland,No,1,5,5,40,Female,White,No,MD,107,Director
1193,Managing Director of Major and Planned Gifts,85000.00,Yes,TV station,Community/independent nonprofit,Saint Paul,Minnesota,No,0.25,1.5,1.5,45,Female,White,No,MN,,Director
1194,Director of Television,84635.00,No,Joint licensee,State,Jackson,Mississippi,No,6,6,8,60,Male,White,No,MS,87.8,Director
1195,Senior Producer,84200.00,Yes,Radio station,College/university,"Washington, D.C.",District of Columbia,No,1,5,6,30,Female,Black or African American,No,DC,,Producer
1196,General Manager,84000.00,No,Radio station,College/university,Harrisonburg,Virginia,No,3,25,30,51,Male,White,No,VA,95.5,Manager
1197,Media Producer,84000.00,Yes,TV station,Community/independent nonprofit,New York,New York,No,7,15,15,52,Female,Hispanic/Latino,Yes,NY,128,Producer
1198,Development Director,84000.00,No,Radio station,College/university,Roanoke,Virginia,No,1,1,3,66,Male,White,No,VA,94.1,Director
1199,News Director,83000.00,No,Joint licensee,Community/independent nonprofit,Anchorage,Alaska,No,18,18,27,62,Female,White,No,AK,110.7,Director
1200,Senior Writer,83000.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,No,4,4,16,40,Female,White,No,DC,,
1201,Director of Membership,83000.00,Yes,TV station,College/university,Milwaukee,Wisconsin,No,14,14,14,47,Female,White,No,WI,93.8,Director
1202,Director of Major Gifts,83000.00,No,Joint licensee,Community/independent nonprofit,Dallas,Texas,No,4,4,4,34,Female,White,No,TX,98.5,Director
1203,Senior Radio Producer,82992.00,Yes,Joint licensee,Community/independent nonprofit,Boston,Massachusetts,Yes,20,25,25,68,Male,White,No,MA,132.6,Producer
1204,"Database Administrator, Membership Operations",82500.00,Yes,Joint licensee,School board,Atlanta,Georgia,No,20,2,2,41,Female,White,No,GA,100.3,Data Journalist
1205,Station Manager/Development Director,82000.00,No,Joint licensee,College/university,Marquette,Michigan,No,19,28,41,61,Female,White,Yes,MI,91.3,Manager
1206,Director of Membership,82000.00,No,Joint licensee,Community/independent nonprofit,Philadelphia,Pennsylvania,No,4,13,13,54,Female,White,No,PA,103.4,Director
1207,Senior Development Officer,82000.00,No,National network/organization ,,nan,Massachusetts,No,6,6,6,54,Female,White,No,MA,,Executive Officer
1208,Digital Producer,81500.00,No,National network/organization ,,New York,New York,Yes,1,1,6,27,Male,White,Yes,NY,128,Producer
1209,Director of Radio Programming,81000.00,Yes,Joint licensee,State,Atlanta,Georgia,No,5,9,9,61,Female,White,No,GA,100.3,Director
1210,Co-Executive Producer,80000.00,Yes,National network/organization ,,New York,New York,No,5,7.5,9,40,Female,White,No,NY,128,Producer
1211,Radio Announcer/Operator,80000.00,No,Radio station,School board,San Francisco,California,Yes,35,35,44,66,Female,Asian,Yes,CA,178.6,
1212,Audio Supervisor ,80000.00,No,TV station,State,Owings Mills,Maryland,No,24,24,28,65,Male,White,No,MD,,Manager
1213,News Director,80000.00,No,Radio station,College/university,Canton,New York,No,2,21,26,50,Male,White,No,NY,,Director
1214,IT/Data Analyst (Fundraising),80000.00,No,Joint licensee,College/university,nan,,Yes,5,20,20,60,Female,Other,No,,,Data Journalist
1215,Director of Content and Creative Services,80000.00,No,Joint licensee,Community/independent nonprofit,Toledo,Ohio,No,6,13.5,17,53,Male,White,No,OH,87.5,Director
1216,Editorial Project Director,80000.00,No,Joint licensee,Community/independent nonprofit,Boston,Massachusetts,No,14,14,14,64,Female,White,No,MA,132.6,Editor
1217,Acting Managing Editor,80000.00,Yes,Radio station,Community/independent nonprofit,Pittsburgh,Pennsylvania,No,0.08,7.5,10,38,Female,White,No,PA,93.1,Editor
1218,Grant Director,80000.00,No,TV station,State,Owings Mills,Maryland,No,9,9,9,66,Female,Black or African American,No,MD,,Director
1219,Senior Producer,80000.00,No,TV station,Community/independent nonprofit,Saint Paul,Minnesota,No,2,9,9,48,Female,White,No,MN,,Producer
1220,"Assistant Director, Online Strategy",80000.00,Yes,Radio station,College/university,"Washington, D.C.",District of Columbia,No,4,8,8,44,Male,Black or African American,No,DC,,Director
1221,Senior Membership Manager,80000.00,No,Radio station,Community/independent nonprofit,Los Angeles,California,No,0.5,4.5,8,29,Female,White,No,CA,140.6,Manager
1222,Supervising Producer,80000.00,Yes,National network/organization ,,San Francisco,California,No,40,7,7,69,Male,White,No,CA,178.6,Producer
1223,Information Specialist,80000.00,No,National network/organization ,,"Washington, D.C.",District of Columbia,Yes,5,5,5,32,Female,White,No,DC,,Specialist
1224,Director of Major Giving,80000.00,No,Joint licensee,Community/independent nonprofit,Kansas City,Missouri,No,2,2,2,61,Female,White,No,MO,91.6,Director
1225,"Director, Audiences and Brand Strategy",80000.00,No,Radio station,Community/independent nonprofit,Pittsburgh,Pennsylvania,No,1.5,1.5,1.5,36,Female,White,No,PA,93.1,Director
1226,Operations Director ,79963.00,No,Radio station,College/university,Phoenix,Arizona,No,4,4,20,61,Male,White,No,AZ,104.3,Director
1227,Business Manager,79950.00,Yes,Joint licensee,Community/independent nonprofit,Boston,Massachusetts,No,6,11,11,45,Female,White,No,MA,132.6,Manager
1228,CEO,79000.00,No,TV station,Community/independent nonprofit,Cookeville,Tennessee,No,15,39,40,62,Female,White,,TN,90.9,Executive Officer
1229,Director of Programming,79000.00,No,Radio station,Community/independent nonprofit,Las Vegas,Nevada,No,13,13,40,61,Male,White,Yes,NV,100.7,Director
1230,Broadcast Content Manager,78000.00,No,TV station,Community/independent nonprofit,Duluth,Minnesota,No,1.75,1.75,15,45,Female,White,No,MN,93.2,Manager
1231,Corporate Support Associate,78000.00,No,Radio station,College/university,Chapel Hill,North Carolina,No,3,3,17,48,Female,Black or African American,No,NC,,
1232,News Director,78000.00,Yes,Radio station,College/university,Bethlehem,Pennsylvania,No,1.5,1.5,12,51,Female,White,No,PA,,Director
1233,"Associate Director, Marketing",78000.00,No,Radio station,Community/independent nonprofit,Seattle,Washington,No,4,8,8,,Male,White,No,WA,124.6,Marketing
1234,Senior Producer,78000.00,Yes,Radio station,College/university,Sacramento,Alaska,No,5,5,5,58,Male,White,Yes,AK,,Producer
1235,Executive Editor ,78000.00,Yes,Joint licensee,Community/independent nonprofit,nan,Connecticut,No,1,3,3,38,Female,Hispanic/Latino,No,CT,,Editor
1236,Senior Reporter,77000.00,Yes,Radio station,College/university,Houston,Texas,Yes,10,10,10,50,Male,White,No,TX,95.8,Reporter
1237,Institutional Giving Officer ,77000.00,No,Radio station,Community/independent nonprofit,Pasadena,California,No,3,3,3,41,Female,Biracial/Multiracial,No,CA,,Executive Officer
1238,General Manager,76000.00,No,Joint licensee,Community/independent nonprofit,Unalaska,Alaska,No,15,20,20,43,Female,White,No,AK,,Manager
1239,Beat Reporter,75000.00,Yes,Radio station,Community/independent nonprofit,Denver,Colorado,No,1,1,1,31,Female,Hispanic/Latino,No,CO,112.1,Reporter
1240,Administration Officer,75000.00,No,Joint licensee,School board,Norfolk,Virginia,No,1,20,21,58,Female,White,No,VA,,Executive Officer
1241,"Assistant VP, Major and Planned Giving ",75000.00,No,Joint licensee,Community/independent nonprofit,Rochester,New York,No,18,18,21,57,Female,White,No,NY,96.6,Executive Officer
1242,CEO,75000.00,No,Joint licensee,State,Charleston,West Virginia,No,3,21,21,50,Male,White,No,WV,83.9,Executive Officer
1243,Director of Classical and Chief of Broadcast Operations,75000.00,Yes,Radio station,College/university,Kansas City,Missouri,No,6,21,21,49,Male,White,No,MO,91.6,Director
1244,News Anchor,75000.00,Yes,Radio station,College/university,Boston,Massachusetts,Yes,20,20,20,68,Male,White,Yes,MA,132.6,Reporter
1245,TV Program Manager,75000.00,Yes,Joint licensee,Community/independent nonprofit,Rohnert Park,California,No,3,3,18,45,Female,Black or African American,No,CA,,Manager
1246,Donor Relations Manager,75000.00,No,TV station,Community/independent nonprofit,St. Louis,Missouri,No,2,12,14,42,Female,White,No,MO,89.6,Manager
1247,Morning Edition Host,75270.00,No,Radio station,College/university,Austin,Texas,No,17,17,25,53,Female,White,No,TX,106.6,Host
1248,Production Director,74000.00,Yes,Radio station,College/university,Fairfield,Connecticut,No,18,29,29,48,Female,White,Yes,CT,,Director
1249,Traffic Media Supervisor ,74000.00,No,TV station,School board,Las Vegas,Nevada,No,21,26,21,62,Female,Black or African American,Yes,NV,100.7,Manager
1250,Membership Manager,74000.00,No,Radio station,College/university,Philadelphia,Pennsylvania,No,5,18,20,42,Female,Black or African American,No,PA,103.4,Manager
1251,"Digital Specialist, Corporate Sponsorship",74000.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,No,4.5,4.5,4.5,37,Female,White,No,DC,,Specialist
1252,Reporter,73845.00,Yes,Radio station,Community/independent nonprofit,Los Angeles,California,Yes,3,3,4,29,Female,Asian,No,CA,140.6,Reporter
1253,Web Projects Manager,73000.00,Yes,Joint licensee,College/university,Houston,Texas,No,14,18,18,39,Male,White,No,TX,95.8,Manager
1254,Assistant General Manager,73000.00,Yes,Radio station,College/university,Winston-Salem,North Carolina,No,6,16,16,50,Female,White,No,NC,91.2,Manager
1255,Director of Foundation Development,73000.00,No,Joint licensee,,Buffalo,New York,No,10,10,10,62,Female,White,No,NY,97.3,Director
1256,Director of Radio Operations,72000.00,No,Joint licensee,School board,Miami,Florida,No,3,30,30,,Male,White,No,FL,110.1,Director
1257,Production Services Manager,72000.00,Yes,TV station,College/university,Riverton,Wyoming,No,25,25,25,58,Male,White,Yes,WY,,Manager
1258,Director of Membership,72000.00,No,TV station,State,Birmingham,Alabama,No,18,18,18,,Female,White,No,AL,90.7,Director
1259,Radio Operations Manager,72000.00,Yes,Joint licensee,State,Atlanta,Georgia,No,15,15,15,65,Male,White,No,GA,100.3,Manager
1260,Research Manager,72000.00,No,Joint licensee,Community/independent nonprofit,Chicago,Illinois,No,2,6,6,38,Female,White,No,IL,100.1,Manager
1261,Digital Director,72000.00,Yes,Radio station,College/university,Ann Arbor,Michigan,No,2,5,5.5,37,Female,White,Yes,MI,99.3,Director
1262,Board Relations Manager ,72000.00,No,Joint licensee,Community/independent nonprofit,Boston,Massachusetts,No,3,4,4,33,Female,White,No,MA,132.6,Manager
1263,Major Gifts Officer,72000.00,No,Radio station,Community/independent nonprofit,Concord,New Hampshire,No,3,3,3,59,Female,White,No,NH,108.3,Executive Officer
1264,Major Gifts Officer,72000.00,Yes,Joint licensee,Community/independent nonprofit,Arlington,Virginia,No,1,1,1,44,Female,White,No,VA,,Executive Officer
1265,Finance and Administration Project Manager,71640.00,Yes,Radio station,College/university,Seattle,Washington,No,10,10,10,47,Female,White,Yes,WA,124.6,Manager
1266,Digital Content Producer,71672.00,No,National network/organization ,,San Francisco,California,No,4,6,10,50,Male,White,No,CA,178.6,Producer
1267,Director of Annual Giving,71000.00,No,Joint licensee,College/university,Lansing,Michigan,Yes,0.5,0.5,8,42,Male,White,Yes,MI,88.7,Director
1268,Managing Editor,71000.00,No,TV station,Community/independent nonprofit,Albany,New York,No,1,1,1,29,Male,White,No,NY,100.1,Editor
1269,Senior Producer,70557.00,No,Joint licensee,Community/independent nonprofit,Cleveland,Ohio,No,1,9,14,36,Female,White,No,OH,90,Producer
1270,Radio Station Manager,70500.00,No,Joint licensee,Community/independent nonprofit,Scranton,Pennsylvania,No,10,38,38,63,Male,White,No,PA,91.3,Manager
1271,Major Gift Officer,70500.00,No,Joint licensee,Community/independent nonprofit,Troy,New York,No,,4,12,61,Female,White,No,NY,,Executive Officer
1272,Director of Production,70000.00,No,Radio station,Community/independent nonprofit,Denver,Colorado,No,1,10,10,40,Male,White,Yes,CO,112.1,Director
1273,Director of Television Content,70000.00,No,Joint licensee,Community/independent nonprofit,Memphis,Tennessee,No,3,40,40,64,Female,White,No,TN,88.2,Director
1274,Producer/Reporter,70000.00,Yes,TV station,Community/independent nonprofit,Portland,Oregon,No,5,5,25,63,Male,White,No,OR,116.5,Reporter
1275,Assistant Program Director,70000.00,No,Radio station,College/university,Austin,Texas,No,6,6,16,46,Female,Hispanic/Latino,Yes,TX,106.6,Director
1276,Program Director,70000.00,No,Radio station,Community/independent nonprofit,Louisville,Kentucky,No,10,13,15,43,Male,White,No,KY,91.6,Director
1277,Operations Director,70000.00,No,Radio station,Community/independent nonprofit,Baton Rouge,Louisiana,No,6,6,13,36,Male,White,No,LA,91.1,Director
1278,News Anchor,70000.00,Yes,Radio station,College/university,San Diego,California,Yes,9,10,12,66,Female,White,No,CA,136.2,Reporter
1279,All Things Considered Host/Reporter,70000.00,No,Radio station,Community/independent nonprofit,Burlington,Vermont,No,4,4,9.5,30,Male,White,No,VT,112.8,Reporter
1280,Co-Producer,70000.00,Yes,National network/organization ,,Brooklyn,New York,No,8,8,9,30,Female,Asian,No,NY,,Producer
1281,Project Manager,70000.00,Yes,National network/organization ,,Boston,Massachusetts,No,2,4,6,28,Male,White,No,MA,132.6,Manager
1282,City Editor ,70000.00,No,Radio station,Community/independent nonprofit,Louisville,Kentucky,No,0.25,3.5,3.5,33,Female,Asian,No,KY,91.6,Editor
1283,Reporter,70000.00,Yes,National network/organization ,,Boston,Massachusetts,Yes,1,2,3,25,Female,White,No,MA,132.6,Reporter
1284,Senior Director of Corporate Communications,70000.00,Yes,Joint licensee,Community/independent nonprofit,Buffalo,New York,No,3,3,3,44,Female,White,No,NY,97.3,Director
1285,Marketing Associate,70000.00,Yes,National network/organization ,,Denver,Colorado,No,2,2,2,33,Female,Black or African American,No,CO,112.1,Marketing
1286,Chief Human Resources Officer,70000.00,Yes,Radio station,Community/independent nonprofit,Newark,New Jersey,No,1,1,1,69,Female,Black or African American,No,NJ,,HR
1287,Animator/Designer,69239.00,No,Joint licensee,Community/independent nonprofit,Hartford,Connecticut,No,7,12,12,37,Male,White,No,CT,104.8,Designer
1288,Producer and Host ,69000.00,Yes,Radio station,College/university,Provo,Utah,No,5,10,10,61,Male,White,Yes,UT,100.9,Host
1289,Producer,69000.00,Yes,Radio station,Community/independent nonprofit,Saint Paul,Minnesota,Yes,,,,,Prefer not to say,Other,Yes,MN,,Producer
1290,News Bureau Chief,69000.00,No,Joint licensee,College/university,Bloomington,Indiana,No,11,11,20,40,Female,White,Yes,IN,92.4,Editor
1291,Business Sponosrship Territory Manager,69000.00,No,Radio station,College/university,Madison,Wisconsin,No,8,15,15,55,Male,White,No,WI,99.5,Manager
1292,Senior Director of Leadership and Legacy Giving,69000.00,No,Joint licensee,Community/independent nonprofit,Buffalo,New York,No,11,11,11,60,Female,White,No,NY,97.3,Director
